Comment,Designator,Footprint,LCSC Part Number
100k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
100k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4k7,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4k7,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4k7,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
1k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
PMN48XP,Q2,TSOP-6_1.65x3.05mm_P0.95mm, C552986
CP2102N-A02-GQFN24,IC1,QFN50P400X400X80-25N,C969913
SGP41-D-R4,U3,XDCR_SGP41-D-R4,C3659325
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
100nF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
LED,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
LED,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
ufl connector,J3,U.FL_Molex_MCRF_73412-0110_Vertical
0.1uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1uF,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1uF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1uF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1uF,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
1uF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
TC-1102-B-C-B,SW1,SW_PUSH_6mm
TC-1102-B-C-B,SW2,SW_PUSH_6mm
ESP32-WROOM-32,U2,MODULE_ESP32-WROOM-32,C529582
SX1276S8S+T-X1,U4,SX1276S8S+T-X1,C2844472
VDD,TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm
USB4085-GF-A_REVA4,J1,GCT_USB4085-GF-A_REVA4
MountingHole_Pad,H1,MountingHole_2.2mm_M2_ISO7380_Pad
MountingHole_Pad,H2,MountingHole_2.2mm_M2_ISO7380_Pad
JST connector SEN55,J2,JST_BM06B-GHS-TBT_LF__SN__N_,C189892
test point / jst connector,J6,TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal
D_Schottky,D4,SOD-123FL,C489144
UART Connector,J4,TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal,C474924
47k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
10uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
10uF,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
10k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
10k,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
SS8050-G,Q3,TRANS_SS8050-Gn,C164885
SS8050-G,Q4,TRANS_SS8050-G,C164885
IRLML0030,Q1,SOT-23
1M,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
20k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
LD1117S33TR_SOT223,U1,SOT-223-3_TabPin2,C86781
